SrcAddr,DstAddr,Sport,Dport,State,Dur,TotPkts,TotBytes,SrcBytes,DstBytes,SrcPkts,DstPkts,Rate,SrcRate,DstRate,Load,SrcLoad,DstLoad,sMeanPktSz,dMeanPktSz,attack_type,attack_category,has_SYN,has_RST,has_FIN,has_ACK,has_PSH,has_URG,has_ECE,has_CWR,ByteRatio,PktRatio,PktsPerSec,BytesPerSec,Proto_icmp,Proto_tcp,Proto_udp,State_OTH,State_REJ,State_RSTO,State_RSTR,State_RSTRH,State_S0,State_S1,State_S3,State_SF,State_SH,State_SHR
10.1.1.10,10.1.3.30,40709,2910,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,59158,14,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
34.138.13.16,10.1.4.40,34071,49165,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,57299,48080,RSTRH,0.001001,2.0,80.0,40.0,40.0,1.0,1.0,79920.07992007992,39960.03996003996,39960.03996003996,639360.6393606394,39920119.84019976,319680.3196803197,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,1998.0019980019981,79920.07992007992,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,44672,917,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,48256,1533,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,39095,6565,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,50396,60020,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,61473,746,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,48098,127,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,43233,152,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,62332,369,RSTRH,0.001005,2.0,80.0,40.0,40.0,1.0,1.0,79601.99004975124,39800.99502487562,39800.99502487562,636815.9203980099,39602980.124254346,318407.96019900497,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,1990.049751243781,79601.99004975124,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,48402,711,RSTRH,0.001002,2.0,80.0,40.0,40.0,1.0,1.0,79840.31936127743,39920.15968063872,39920.15968063872,638722.5548902195,39840478.72319233,319361.27744510974,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,1996.007984031936,79840.31936127743,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,59158,746,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
193.153.232.36,10.1.4.40,46625,164,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,59436,10180,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
34.165.93.143,10.1.4.40,34071,7937,RSTRH,0.000501,2.0,80.0,40.0,40.0,1.0,1.0,159680.63872255487,79840.31936127743,79840.31936127743,1277445.109780439,159361914.8927693,638722.5548902195,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,3992.015968063872,159680.63872255487,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,38560,963,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,52761,950,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
